tipo,municipios,distancia_total_km,custo_combustivel,custo_pedagio,custo_alimentacao,custo_estadia,custo_total
Dia,['Votorantim'],181.57262396114513,58.506734387480094,27.235893594171767,100,0,185.74262798165188
Dia,['Salto'],179.3363074296983,57.78614350512501,26.900446114454745,100,0,184.68658961957976
Dia,['Piedade'],178.51924024441678,57.52286630097874,26.777886036662515,100,0,184.30075233764128
Dia,['Peruíbe'],175.9392130381002,56.69152420116562,26.39088195571503,100,0,183.0824061568807
Dia,['Morungaba'],174.4525152724224,56.21247714333611,26.16787729086336,100,0,182.38035443419943
Dia,['Valinhos'],173.50716119613065,55.90786305208654,26.0260741794196,100,0,181.93393723150612
Dia,['Itu'],172.96340398081063,55.73265239381675,25.944510597121592,100,0,181.67716299093837
Dia,['Vargem'],168.80470054832693,54.39262573223868,25.32070508224904,100,0,179.71333081448773
Dia,['São José dos Campos'],168.70793520039072,54.361445786792565,25.30619028005861,100,0,179.66763606685117
Dia,['Joanópolis'],167.45113726729608,53.95647756390651,25.11767059009441,100,0,179.0741481540009
Dia,['Vinhedo'],160.60471307033944,51.75040754488715,24.090706960550914,100,0,175.84111450543807
Dia,['Itatiba'],152.6425651375864,49.18482654433339,22.89638477063796,100,0,172.08121131497134
Dia,['Bragança Paulista'],151.73698377331664,48.89302810473536,22.76054756599749,100,0,171.65357567073283
Dia,['Itupeva'],148.89425137233215,47.97703655330702,22.334137705849823,100,0,170.31117425915684
Dia,['Louveira'],146.385114454919,47.16853687991835,21.95776716823785,100,0,169.1263040481562
Dia,['Santa Branca'],146.02873017870047,47.05370194647015,21.90430952680507,100,0,168.95801147327523
Dia,['Salesópolis'],145.98996273515428,47.04121021466082,21.89849441027314,100,0,168.93970462493397
Dia,['Alumínio'],144.79561937969058,46.65636624456697,21.719342906953585,100,0,168.37570915152054
Dia,['Jacareí'],141.3165179027334,45.535322435325206,21.19747768541001,100,0,166.73280012073522
Dia,['Cabreúva'],139.67622748201373,45.00678441087109,20.951434122302057,100,0,165.95821853317312
Dia,['Ibiúna'],136.52759049128744,43.992223602748176,20.47913857369312,100,0,164.4713621764413
Dia,['Piracaia'],135.4435827328853,43.6429322139297,20.316537409932792,100,0,163.9594696238625
Dia,['Mairinque'],130.46127894028047,42.03752321409037,19.56919184104207,100,0,161.60671505513244
Dia,['Itanhaém'],128.94632956187866,41.54937285882757,19.3419494342818,100,0,160.89132229310937
Dia,['Igaratá'],125.45452213535638,40.4242349102815,18.818178320303456,100,0,159.24241323058496
Dia,['Jarinu'],123.3580719064843,39.74871205875605,18.503710785972643,100,0,158.2524228447287
Dia,['Juquitiba'],122.47041805763874,39.46269026301693,18.37056270864581,100,0,157.83325297166272
Dia,['Jundiaí'],122.19899352922089,39.3752312483045,18.329849029383134,100,0,157.70508027768764
Dia,['São Roque'],121.29473027848135,39.083857534177326,18.194209541772203,100,0,157.27806707594954
Dia,['Guararema'],116.47131867016866,37.529647127054346,17.470697800525297,100,0,155.00034492757965
Dia,['Atibaia'],115.15961529505795,37.10698715062978,17.273942294258692,100,0,154.3809294448885
Dia,['Araçariguama'],112.47070799560439,36.2405614652503,16.870606199340656,100,0,153.11116766459097
Dia,['Bom Jesus dos Perdões'],112.41823752154382,36.22365431249745,16.862735628231572,100,0,153.08638994072902
Dia,['Várzea Paulista'],108.70060018274292,35.02574894777271,16.30509002741144,100,0,151.33083897518415
Dia,['Nazaré Paulista'],107.12905646487496,34.51936263868193,16.069358469731245,100,0,150.58872110841318
Dia,['Campo Limpo Paulista'],106.45639778714003,34.30261706474512,15.968459668071004,100,0,150.27107673281614
Dia,['Biritiba-Mirim'],105.47112359103251,33.98513982377714,15.820668538654877,100,0,149.805808362432
Dia,['Pirapora do Bom Jesus'],105.23062658594702,33.90764634436071,15.784593987892052,100,0,149.69224033225277
Dia,['Mongaguá'],100.29076641815593,32.31591362362801,15.043614962723383,100,0,147.35952858635142
Dia,['Guarujá'],99.01868489335313,31.906020687858227,14.852802734002967,100,0,146.7588234218612
Dia,['Santa Isabel'],97.54100936010192,31.42988079381061,14.631151404015286,100,0,146.0610321978259
Dia,['Bertioga'],96.7082058515887,31.161532996623023,14.506230877738304,100,0,145.66776387436133
Dia,['Vargem Grande Paulista'],95.82033540993427,30.875441409867715,14.373050311490143,100,0,145.24849172135785
Dia,['São Lourenço da Serra'],92.55660824025156,29.823795988525504,13.883491236037734,100,0,143.70728722456323
Dia,['Cajamar'],90.89533587561888,29.288497115477195,13.634300381342833,100,0,142.92279749682
Dia,['Francisco Morato'],88.22469938127892,28.42795868952321,13.233704907191838,100,0,141.66166359671504
Dia,['Praia Grande'],87.8890529788604,28.319805959855017,13.18335794682906,100,0,141.50316390668408
Dia,['Santana de Parnaíba'],85.59055934605615,27.579180233729208,12.838583901908423,100,0,140.41776413563764
Dia,['Santos'],83.6289573157891,26.94710846842093,12.544343597368364,100,0,139.4914520657893
Dia,['Itapevi'],79.64816075852126,25.66440735552352,11.947224113778187,100,0,137.6116314693017
Dia,['São Vicente'],79.19113624146732,25.51714390002836,11.878670436220098,100,0,137.39581433624846
Dia,['Mogi das Cruzes'],79.17608555675326,25.51229423495382,11.876412833512989,100,0,137.3887070684668
Dia,['Franco da Rocha'],78.09353048182027,25.16347093303097,11.71402957227304,100,0,136.877500505304
Dia,['Jandira'],75.02627933201634,24.17513445142749,11.25394189980245,100,0,135.42907635122992
Dia,['Cotia'],74.8584282229712,24.121049094068496,11.22876423344568,100,0,135.34981332751417
Dia,['Barueri'],72.33158082957598,23.306842711752253,10.849737124436396,100,0,134.15657983618866
Dia,['Caieiras'],71.85660616737833,23.153795320599684,10.77849092510675,100,0,133.93228624570645
Dia,['Arujá'],71.24463465807882,22.956604500936507,10.686695198711822,100,0,133.64329969964834
Dia,['Mairiporã'],71.0678056040927,22.89962625020765,10.660170840613905,100,0,133.55979709082155
Dia,['Embu-Guaçu'],68.4352442194891,22.051356470724265,10.265286632923363,100,0,132.31664310364764
Dia,['Itapecerica da Serra'],64.46414438833617,20.77177985846387,9.669621658250422,100,0,130.44140151671428
Dia,['Carapicuíba'],63.59310724044688,20.49111233303288,9.538966086067031,100,0,130.0300784190999
Dia,['Cubatão'],62.761187002194944,20.223049145151705,9.41417805032924,100,0,129.63722719548093
Dia,['Embu das Artes'],62.07501547039794,20.00194942935045,9.311252320559692,100,0,129.31320174991015
Dia,['Itaquaquecetuba'],54.091644673798974,17.429529950446334,8.113746701069847,100,0,125.54327665151618
Dia,['Osasco'],53.64391368756178,17.28526107710324,8.046587053134267,100,0,125.3318481302375
Dia,['Suzano'],53.26697602560641,17.163803386028732,7.990046403840961,100,0,125.1538497898697
Dia,['Poá'],47.69168934197161,15.367322121301964,7.1537534012957416,100,0,122.5210755225977
Dia,['Ferraz de Vasconcelos'],42.62190422793003,13.733724695666345,6.393285634189504,100,0,120.12701032985584
Dia,['Taboão da Serra'],41.2569634403752,13.293910441898674,6.188544516056279,100,0,119.48245495795496
Dia,['Guarulhos'],40.486396749145634,13.04561673028026,6.0729595123718445,100,0,119.1185762426521
Dia,['Rio Grande da Serra'],39.97303690683088,12.88020078108995,5.995955536024631,100,0,118.87615631711458
Dia,['Ribeirão Pires'],34.03043137915327,10.965361222171609,5.10456470687299,100,0,116.0699259290446
Dia,['São Paulo'],28.68838050470192,9.244033718181733,4.303257075705288,100,0,113.54729079388702
Dia,['Mauá'],20.119807741779436,6.48304916124004,3.017971161266915,100,0,109.50102032250696
Dia,['Diadema'],17.130379737429188,5.51978902650496,2.569556960614378,100,0,108.08934598711934
Dia,['São Bernardo do Campo'],12.76754494801678,4.113986705472073,1.915131742202517,100,0,106.0291184476746
Dia,['Santo André'],8.868823124074291,2.857731895535049,1.3303234686111436,100,0,104.1880553641462
Dia,['São Caetano do Sul'],2.689398124970025,0.8665838402681192,0.4034097187455037,100,0,101.26999355901364
